time	sn_day_avg	sn_day_max	sn_day_min	sm_day_avg	sm_day_max	sm_day_min	sx_day_avg	sx_day_max	sx_day_min	dn_day_avg	dn_day_max	dn_day_min	dm_day_avg	dm_day_max	dm_day_min	dx_day_avg	dx_day_max	dx_day_min	ta_day_avg	ta_day_max	ta_day_min	pa_day_avg	pa_day_max	pa_day_min	ua_day_avg	ua_day_max	ua_day_min	rc_day_avg	rc_day_max	rc_day_min	rd_day_avg	rd_day_max	rd_day_min	ri_day_avg	ri_day_max	ri_day_min	
2018-02-06 00:00:00+01	0.37	1.90	0.00	1.15	3.10	0.20	1.97	4.50	0.40	162.83	359.00	1.00	169.17	359.00	4.00	192.61	359.00	0.00	-4.32	-0.60	-8.80	993.89	996.70	991.70	55.12	73.10	35.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-07 00:00:00+01	0.47	2.70	0.00	1.58	3.70	0.30	2.69	5.10	0.70	157.35	359.00	0.00	66.48	139.00	4.00	130.70	307.00	36.00	-2.16	0.00	-4.90	988.72	991.50	986.40	67.86	81.60	58.20	0.00	0.01	0.00	15.26	70.00	0.00	0.00	0.00	0.00	
2018-02-08 00:00:00+01	0.40	2.80	0.00	1.27	3.30	0.20	2.12	4.20	0.40	233.61	359.00	0.00	250.57	359.00	0.00	149.96	359.00	0.00	-0.64	0.20	-1.40	988.45	990.90	986.30	76.44	78.90	72.90	0.00	0.01	0.00	3.09	70.00	0.00	0.00	0.00	0.00	
2018-02-09 00:00:00+01	0.44	2.10	0.00	1.27	3.60	0.20	2.07	4.90	0.50	201.17	359.00	0.00	209.30	354.00	1.00	166.96	359.00	0.00	-0.56	1.30	-1.50	990.58	991.30	989.40	70.68	76.50	61.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
2018-02-10 00:00:00+01	0.43	2.30	0.00	1.30	3.20	0.20	2.17	4.30	0.50	168.78	359.00	0.00	70.13	359.00	0.00	129.22	347.00	27.00	-0.65	1.00	-1.70	989.46	990.10	988.70	70.32	75.80	62.30	0.00	0.00	0.00	15.48	30.00	0.00	0.00	0.00	0.00	
2018-02-11 00:00:00+01	0.30	2.70	0.00	1.07	3.90	0.10	1.88	5.20	0.40	153.48	359.00	0.00	104.43	359.00	0.00	168.39	351.00	11.00	-0.28	2.00	-2.00	983.86	988.30	980.60	66.15	73.70	54.90	0.00	0.00	0.00	1.35	30.00	0.00	0.00	0.00	0.00	
2018-02-12 00:00:00+01	0.38	2.90	0.00	0.97	4.10	0.10	1.55	5.50	0.30	200.30	357.00	1.00	229.04	359.00	1.00	227.74	359.00	0.00	1.46	3.20	0.00	983.64	988.00	980.60	67.91	75.70	61.00	0.00	0.00	0.00	5.96	20.00	0.00	0.00	0.00	0.00	
2018-02-13 00:00:00+01	0.52	2.80	0.00	1.35	4.00	0.10	2.16	5.90	0.30	176.83	359.00	0.00	122.87	358.00	1.00	148.78	359.00	0.00	1.14	3.10	-0.10	988.86	990.10	988.00	70.43	77.80	63.20	0.03	0.04	0.00	265.61	310.00	0.00	0.00	0.70	0.00	
2018-02-14 00:00:00+01	0.80	4.30	0.00	2.13	5.80	0.20	3.43	7.70	0.50	202.87	359.00	0.00	46.78	359.00	0.00	86.52	229.00	13.00	-0.28	0.80	-1.10	989.76	992.90	987.40	73.15	78.20	63.50	0.00	0.04	0.00	13.70	310.00	0.00	0.00	0.00	0.00	
2018-02-15 00:00:00+01	0.52	2.60	0.00	1.53	3.70	0.20	2.52	5.80	0.60	164.52	359.00	0.00	66.43	357.00	0.00	120.74	300.00	25.00	-0.87	0.60	-1.80	995.25	996.40	993.10	69.90	74.00	63.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
